FROM/ID,12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
33850,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13371,4,0,0,0,0,2,3,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13372,2,0,2,0,0,1,4,3,3,2,0,0,0,1,0,0,0,1,2,0,0,0,0,1
13373,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13374,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
13375,4,0,0,0,0,2,5,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13378,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13379,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
13380,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1
13381,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33861,1,1,0,0,0,2,4,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0
13382,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13386,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13387,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1
13388,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
13389,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
13390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13391,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13392,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13393,2,0,2,0,0,1,3,2,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1
13395,4,0,0,0,0,2,3,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13396,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13397,4,0,0,0,0,2,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
13398,2,0,2,0,0,1,3,2,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1
13399,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13400,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13401,4,0,0,0,0,2,0,5,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1
13404,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13405,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13406,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13407,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13408,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13409,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13410,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13411,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13412,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13413,0,1,0,0,0,1,2,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
13414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13416,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13417,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13418,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13419,1,1,0,0,0,1,5,6,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
13420,1,1,1,0,0,1,4,0,1,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0
13421,0,0,0,0,0,2,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
13422,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13423,1,0,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13424,0,1,0,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
13425,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13426,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
13427,1,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13428,1,1,0,0,0,0,4,3,2,2,1,0,0,2,0,1,0,0,0,0,0,0,2,1
13430,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13431,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
